Scheme Name,Details,Entities
Salary Reimbursement Scheme,"The scheme “Salary Reimbursement Scheme” is a scheme by the Department of Information Technology, Electronics and Communications, Government of Goa, for the Startups of Goa. The scheme aims to bolster startup growth by incentivizing the hiring of local talent through a dual-pronged approach. Startups can reimburse 50% of fresher salaries. The process ensures prompt disbursement post SPC approval, emphasizing that benefits are discretionary, not entitlements.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhya mantri Swarojgar Yojana,"The Mukhya Mantri Swarojgar Yojana was launched on 1 August 2014 under The Department of Micro, Small & Medium Enterprises, Madhya Pradesh government gives loans up to ₹50,000 to ₹10,00,000 to the state's citizens to establish employment so that all the citizens can start employment. Under Madhya Pradesh Mukhya Mantri Swarozgar Yojana, the government provides the benefit of money margin, interest subsidy, loan guarantee, and training to the beneficiaries. It provides a minimum period of 6 months and a maximum of 7 years to repay the loan payable by the bank.","{""AGE"": [""1 August 2014"", ""6 months"", ""7 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""up to \u20b950,000 to \u20b910,00,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,"The “Strawberry Vikas Yojana” a component of the umbrella scheme “Mukhyamantri Bagwani Mission”, launched by the Department of Agriculture, Bihar. The main objective of the scheme is to promote the commercial cultivation of horticultural crops in the state of Bihar.
This component focuses on expanding strawberry farming through providing subsidies on seedlings, wooden packaging boxes, and plastic containers.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Bihar""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme for Financial Assistance to Integrated Logistics Facilities: Exemption of Electricity Duty,"The ""Scheme for Financial Assistance to Integrated Logistics Facilities"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat under the  Gujarat Integrated Logistics and Logistics Park Policy. Effective from August 2nd, 2021 to August 1st, 2026, this initiative aims to provide financial assistance to the private developer for developing Logistics Facilities and Logistics Park with all required infrastructure and logistic services.
The component ""Exemption of Electricity Duty"" is aimed at promoting industrial growth and economic development. Under this scheme, newly established units or projects can avail of electricity duty exemptions after the commencement of their operations.","{""AGE"": [""August 2nd, 2021 to August 1st, 2026""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),"The
Financial Assistance Scheme (FAS)
is an export promotion scheme run by APEDA. APEDA is an export promotion body under the Ministry of Commerce and Industry for the promotion of Agricultural and Processed Food Products. The scheme has been open and implemented for the period of 2021-22 to 2025-26.  The scheme aims to facilitate the export of agri-products by providing assistance to exporters. It achieves its objective through the following:
Understanding the several challenges faced by agri-exporters.
Acknowledging the need for assistance to successfully navigate through these challenges and achieve the objectives of APEDA.
Financial assistance is provided in three broad areas, namely:
Development of Export Infrastructure
Infrastructure, Quality Development and
Market Development.
The details of each scheme such as scheme name, launch date, ministry/dept. name, scope, objectives, salient features, target beneficiary, benefits, etc. are as follows:
Development of Export Infrastructure:
APEDA recognizes the importance of infrastructure for the growth of agro-industries and the export of agricultural products in the value chain. The scheme component covers both fresh produce and processed food products. The objective of the scheme is to reduce losses caused due to spoilage and to ensure quality production of agro products. To achieve this, it seeks to set up post-harvest handling facilities. Under this component, assistance is provided for the following:
Infrastructure such as packhouse facilities with packing/grading lines
Pre-cooling units with cold storage and refrigerated transportation etc.
Cable system for handling crops like banana
Common infrastructure facilities
Pre-shipment treatment facilities such as irradiation, Vapour Heat Treatment (VHT), and Hot Water Dip Treatment (HWDT) for compliance with Phyto-Sanitary requirements of importing countries
Infrastructure for processing facilities (process food sector) for addressing missing gaps which may include equipment like X-ray, Screening, Sortex, filth/metal detector, sensors, vibrators, or any new equipment or technology for food safety and quality requirements.
Quality Development:
To participate/engage in international trade, it is necessary to comply with the Food Safety requirements of different countries. Several importing countries demand adherence to stringent Maximum Residue Levels (MRLs). Some of the developed importing countries have set up MRLs at a very low level. For this, high to a ceiling of Rs. 600 lakhs. The funds shall be released against the bank guarantee.
Quality Development Scheme:
Implementation and certification of quality and food safety management systems, standardization, harmonization with international standards for adoption of global standards, and handheld devices for capturing farm-level peripheral coordinates for traceability systems.
Beneficiaries:
APEDA registered exporters are eligible to apply for assistance, Certification Bodies accredited under the National Program for Organic Production (NPOP), State Agencies, trade bodies, Chambers of Commerce, Government agencies, FPO, SHG, FPC, Cooperatives, and individual farmers and listed laboratories are eligible for assistance.
Benefits:
The assistance will be upto50% of the total cost subject to a ceiling of Rs. 5 lakh and 20 lakh per certification. The assistance will also be applicable for the renewal of certifications. The 20 lakh are applicable as in the case of Procuring hand-held devices including the cost of software for capturing farm-level peripheral coordinates for traceability systems. This will include any electronic management system, software, blockchain, Artificial Intelligence (AI), or any other high-precision technology.
Market Development:
Beneficiaries:
It includes APEDA registered exporters, trade delegations, promoters of GI products, Central/State Govt. agencies, Trade chambers, Indian missions abroad, etc.
Benefits:
The benefits and their components would be decided and implemented by APEDA.
As in the case of New Market / Product development through conducting feasibility studies. There are two criteria
Assistance will be up to 50% of the total cost subject to a ceiling of Rs. 10 lakhs per study per beneficiary.
Assistance will be up to 75% of the total cost subject to a ceiling of Rs. 10 lakhs per study per beneficiary if conducted by Trade Associations/Indian missions abroad/Central/State Govt. agencies/ exporters belonging to North - Eastern States, difficult areas namely Himalayan and landlocked states, Island Union Territories, SC/ST, and women beneficiaries.
For activities initiated by APEDA, the funding shall be 100%
As in the case of Assistance for trial shipment covering multimodal transport. Assistance will be up to 50% of the total cost subject to a ceiling of Rs. 10 lakhs as in the case of Registration of Brand / IPR outside India.
Assistance will be upto50% of the total cost subject to a ceiling of Rs. 20 lakhs per beneficiary
100% in the case of APEDA.","{""AGE"": [""2021-22"", ""2025-26""], ""GENDER"": [""Vapour Heat Treatment""], ""LOCATION"": [""Procuring"", ""India""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""SC"", ""ST""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Hari Om Ashram Prerit Senior Scientist Award,"The Hari Om Ashram Prerit Senior Scientist Award was established to commemorate the birth centenary of Pujya Shri Mota, the founder of the Hari Om Ashram, Nadiad. It is awarded to an eminent Indian scientist for their innovative and outstanding contributions to the field of Science and Technology. The award comprises a silver plaque, a citation, and a cash prize of ₹4,00,000/-.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Ladli Social Security Allowance Scheme,"Launched on 1st January 2006, the scheme “Ladli Social Security Allowance Scheme” is a flagship social-security scheme by the Department of Social Justice and Empowerment, Government of Haryana. Through this scheme, the eligible family receives benefits for 15 years after either of the two parents completes 45 years of age. A sum of ₹2,750/- per month per family is provided to the families who have solely girl child/children. The parent(s) should be either domicile of Haryana or should be working for the Government of Haryana.","{""AGE"": [""1st January 2006"", ""15 years"", ""45 years of age""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""2,750/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Power Connection Charges,"The ""Aatmanirbhar Gujarat Scheme for MSMEs"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports. Effective from October 5, 2022, to October 4, 2027, this initiative supports growth, investments, and the vision of ""Aatmanirbhar Gujarat"" and ""Aatmanirbhar Bharat.""
The component ""Assistance for Power Connection Charges"" financial assistance to eligible Micro, Small, and Medium Enterprises (MSMEs) to offset costs incurred for power connection charges. It covers charges for new connections, additional load for expansion, or shifting connections or service lines, subject to conditions.","{""AGE"": [""October 5, 2022"", ""October 4, 2027""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Old Age Pension,"In 2010, the West Bengal state government, through the Women and Child Development and Social Welfare Department, launched a compassionate initiative called the ""Old Age Pension"" scheme. The West Bengal Disability Pension Scheme provides financial assistance to persons who are above 60 years and unable to work and earn a living.","{""AGE"": [""2010"", ""60 years""], ""GENDER"": [], ""LOCATION"": [""West Bengal""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disability""]}"
Solar Power Subsidy Scheme,"Launched in 2018, the ""Solar Power Subsidy Scheme"" is one of the ""Information Technology Policy Schemes"" by the Department of Information Technology, Government of Goa. The objective and the scope of this scheme is to provide Solar Power Subsidy to the eligible Information Technology Units in the State of Goa. All the New and Existing Units having their operations in Goa are eligible. The scheme has been framed as a part of Goa's IT Policy that envisages Goa as an aspirational geographical and human resource base for IT Units and a preferred destination for their investment and expansion.","{""AGE"": [""2018""], ""GENDER"": [], ""LOCATION"": [""the State of Goa""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
